Region,Month,Workflow,Original Footprint (gCO2e),Makespan (s),Reduction 6h (%),Overhead,Reduction 12h (%),Overhead,Reduction 24h (%),Overhead,Reduction 48h (%),Overhead,Reduction 96h (%),Overhead
gb,apr,nanoseq,145.08,20032,1.50,171.78,3.07,171.78,5.23,0.00,5.23,50.20,5.23,171.78
gb,apr,rangeland,2529.49,24799,0.70,735.44,1.57,686.15,2.10,569.15,2.10,569.15,2.73,735.44
gb,apr,rnaseq,1914.61,11011,2.17,536.67,4.97,819.01,9.47,295.34,12.93,592.67,13.07,536.67
gb,apr,sarek,3487.25,18265,1.43,875.25,3.17,800.25,5.90,538.54,7.03,728.24,7.03,875.25
gb,may,chipseq,2425.04,13324,0.00,585.28,0.00,410.12,0.00,326.94,0.00,711.56,0.00,585.28
gb,may,mag,4867.21,45476,0.07,625.63,0.23,765.29,0.57,523.99,1.97,243.50,4.77,625.63
gb,may,montage,125.07,1900,0.00,0.00,0.00,99.00,0.00,0.00,0.00,202.00,0.00,0.00
gb,may,nanoseq,135.10,20032,0.30,167.59,0.30,103.48,0.30,137.41,0.30,74.16,0.30,167.59
gb,may,rangeland,2389.89,24799,0.00,497.63,0.00,693.44,0.10,472.63,0.10,472.63,0.10,497.63
gb,may,rnaseq,1664.78,11011,0.00,725.01,0.00,462.67,0.00,859.53,0.00,763.01,0.00,725.01
gb,may,sarek,3175.26,18265,0.00,583.54,0.00,1357.09,0.00,297.42,0.00,546.83,0.00,583.54
gb,jun,chipseq,2425.04,13324,0.00,585.28,0.00,390.74,0.00,790.12,0.00,250.14,0.00,585.28
gb,jun,mag,4809.73,45476,0.07,768.49,0.20,686.49,0.33,598.49,1.43,1483.98,4.47,768.49
gb,jun,montage,125.07,1900,0.00,0.00,0.00,99.00,0.00,0.00,0.00,202.00,0.00,0.00
gb,jun,nanoseq,134.21,20032,0.00,148.56,0.00,142.14,0.00,69.54,0.00,86.67,0.00,148.56
gb,jun,rangeland,2356.30,24799,0.00,808.44,0.00,488.63,0.00,488.63,0.00,488.63,0.00,808.44
gb,jun,rnaseq,1664.78,11011,0.00,725.01,0.00,462.67,0.00,569.67,0.00,720.19,0.00,725.01
gb,jun,sarek,3166.40,18265,0.00,531.54,0.00,843.31,0.00,987.08,0.00,1341.38,0.00,531.54
gb,jul,chipseq,2438.51,13324,0.27,281.47,0.50,573.94,0.50,573.94,0.57,1435.70,0.57,281.47
gb,jul,mag,4880.08,45476,0.10,548.99,0.20,843.63,0.60,770.29,2.37,1496.98,4.97,548.99
gb,jul,montage,125.07,1900,0.00,0.00,0.00,99.00,0.00,0.00,0.00,202.00,0.00,0.00
gb,jul,nanoseq,135.59,20032,0.27,8.50,0.27,40.85,0.47,40.85,0.47,185.77,0.47,8.50
gb,jul,rangeland,2396.26,24799,0.20,801.44,0.20,576.10,0.30,620.15,0.30,420.10,0.30,801.44
gb,jul,rnaseq,1678.27,11011,0.50,295.34,0.80,567.67,0.80,479.67,0.80,801.53,0.80,295.34
gb,jul,sarek,3189.77,18265,0.00,277.41,0.00,463.54,0.03,826.25,0.20,297.42,0.20,277.41
gb,aug,chipseq,2425.04,13324,0.00,585.28,0.00,390.74,0.20,790.12,0.50,1109.88,0.50,585.28
gb,aug,mag,4814.03,45476,0.17,617.29,0.30,692.63,0.40,1209.81,1.53,504.99,4.70,617.29
gb,aug,montage,125.07,1900,0.00,0.00,0.00,99.00,0.00,0.00,0.00,202.00,0.00,0.00
gb,aug,nanoseq,134.10,20032,0.17,148.56,0.17,216.03,0.37,148.56,0.37,281.47,0.37,148.56
gb,aug,rangeland,2350.18,24799,0.00,255.33,0.00,1144.26,0.00,1061.33,0.00,1107.26,0.00,255.33
gb,aug,rnaseq,1664.78,11011,0.00,725.01,0.00,462.67,0.00,569.67,0.60,864.01,0.70,725.01
gb,aug,sarek,3166.19,18265,0.07,800.24,0.20,802.24,0.40,839.31,0.40,1650.61,0.40,800.24
gb,sep,chipseq,2425.04,13324,0.00,585.28,0.00,410.12,0.00,418.74,0.00,326.94,0.00,585.28
gb,sep,mag,4816.65,45476,-0.07,0.00,0.00,269.50,0.00,715.05,0.23,677.29,2.70,0.00
gb,sep,montage,125.30,1900,0.17,0.00,0.17,99.00,0.17,0.00,0.17,577.00,0.17,0.00
gb,sep,nanoseq,135.07,20032,0.30,74.16,0.30,50.20,0.30,40.85,0.30,74.16,0.30,74.16
gb,sep,rangeland,2403.28,24799,0.00,276.05,0.00,518.67,0.20,497.67,0.30,518.67,0.50,276.05
gb,sep,rnaseq,1664.78,11011,0.00,725.01,0.00,462.67,0.00,859.53,0.00,763.01,0.00,725.01
gb,sep,sarek,3174.51,18265,0.00,297.77,0.00,583.54,0.00,583.54,0.00,553.82,0.00,297.77
gb,oct,chipseq,2560.58,13324,0.13,575.28,0.17,815.41,0.17,815.41,0.17,815.41,1.83,575.28
gb,oct,mag,5248.19,45476,0.07,296.88,0.10,299.88,0.60,0.00,3.30,820.29,8.87,296.88
gb,oct,montage,125.07,1900,0.00,0.00,0.00,99.00,0.00,99.00,0.00,99.00,0.00,0.00
gb,oct,nanoseq,146.13,20032,1.17,0.00,1.17,0.00,1.17,0.00,1.17,0.00,2.20,0.00
gb,oct,rangeland,2588.35,24799,0.00,294.33,0.00,283.33,0.00,0.00,1.50,477.67,2.60,294.33
gb,oct,rnaseq,1717.70,11011,0.20,287.06,0.30,551.69,0.30,468.67,0.30,551.69,1.67,287.06
gb,oct,sarek,3390.45,18265,0.10,527.82,0.10,527.82,0.10,454.54,0.10,527.82,1.13,527.82
gb,nov,chipseq,2679.09,13324,0.77,260.47,0.90,500.74,1.70,712.42,1.70,712.42,1.70,260.47
gb,nov,mag,5388.29,45476,0.30,1062.99,0.50,1302.38,0.87,979.99,2.57,787.49,5.27,1062.99
gb,nov,montage,135.52,1900,0.00,359.00,0.40,0.00,0.90,160.00,0.90,64.00,0.90,359.00
gb,nov,nanoseq,147.61,20032,0.17,0.00,0.17,0.00,0.17,0.00,0.17,0.00,0.30,0.00
gb,nov,rangeland,2644.43,24799,0.10,255.33,0.10,537.67,0.10,537.67,0.10,537.67,0.93,255.33
gb,nov,rnaseq,1825.14,11011,1.00,274.34,1.23,811.01,1.27,841.19,1.70,886.53,1.70,274.34
gb,nov,sarek,3506.19,18265,0.67,276.42,0.80,580.25,0.80,288.41,0.80,288.41,1.00,276.42
gb,dec,chipseq,2444.07,13324,0.00,283.47,0.00,534.94,0.97,818.41,0.97,818.41,0.97,283.47
gb,dec,mag,5385.95,45476,0.03,1045.99,0.10,1059.05,0.37,637.29,2.30,1608.98,4.87,1045.99
gb,dec,montage,144.68,1900,5.87,0.00,6.77,0.00,7.17,0.00,7.17,0.00,7.17,0.00
gb,dec,nanoseq,141.33,20032,1.57,340.34,1.57,248.60,1.57,340.34,1.57,340.34,1.57,340.34
gb,dec,rangeland,2533.09,24799,0.00,577.63,0.00,296.81,0.00,296.81,0.00,577.67,0.30,577.63
gb,dec,rnaseq,1635.32,11011,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.00
gb,dec,sarek,3279.60,18265,0.30,808.25,0.47,808.25,0.47,805.24,0.47,877.24,0.47,808.25
de,jan,chipseq,4629.79,13324,1.10,296.14,1.60,298.37,1.60,1078.49,1.60,972.49,1.60,296.14
de,jan,mag,8838.00,45476,0.10,536.75,0.20,690.63,0.23,979.49,0.23,991.51,0.53,536.75
de,jan,montage,249.62,1900,1.40,192.59,5.70,0.00,5.80,365.18,6.57,0.00,6.57,192.59
de,jan,nanoseq,253.20,20032,0.23,38.85,0.23,150.90,0.23,295.82,0.23,295.82,0.33,38.85
de,jan,rangeland,4479.55,24799,0.10,255.67,0.20,497.67,0.20,1221.88,0.30,662.20,0.70,255.67
de,jan,rnaseq,3185.73,11011,1.20,0.00,1.83,574.69,1.97,765.19,2.00,882.34,2.00,0.00
de,jan,sarek,6013.93,18265,0.60,276.42,0.90,376.83,0.90,516.82,0.90,516.82,1.00,276.42
de,feb,chipseq,4705.55,13324,0.10,833.12,0.37,1110.49,0.50,1390.70,1.60,2247.98,2.60,833.12
de,feb,mag,9022.09,45476,0.00,493.75,0.00,963.51,0.00,1186.38,0.47,567.99,0.97,493.75
de,feb,montage,241.70,1900,0.30,66.00,1.00,202.00,1.00,202.00,1.00,202.00,4.47,66.00
de,feb,nanoseq,260.87,20032,0.43,241.56,0.63,414.19,1.17,314.13,2.13,680.26,2.20,241.56
de,feb,rangeland,4572.73,24799,0.30,941.33,0.80,1234.07,1.50,1437.88,1.60,1365.88,1.60,941.33
de,feb,rnaseq,3221.79,11011,0.20,298.84,0.23,826.53,0.40,1040.34,0.60,1947.91,2.77,298.84
de,feb,sarek,6149.16,18265,0.13,870.24,0.37,1047.08,0.73,1366.06,1.93,2008.30,2.00,870.24
de,mar,chipseq,4668.27,13324,0.10,802.41,0.17,1040.88,0.20,1263.36,0.27,1056.49,1.10,802.41
de,mar,mag,9019.60,45476,0.00,657.49,0.00,498.75,0.07,1260.38,0.83,1100.48,1.67,657.49
de,mar,montage,239.27,1900,0.20,222.00,0.63,202.00,0.83,348.00,0.90,325.00,1.10,222.00
de,mar,nanoseq,259.14,20032,0.10,268.62,0.10,268.62,0.20,236.00,0.87,636.87,1.03,268.62
de,mar,rangeland,4587.25,24799,0.20,557.67,0.63,458.67,1.00,1221.07,1.40,1725.70,1.40,557.67
de,mar,rnaseq,3200.61,11011,0.33,504.69,0.37,474.69,0.37,474.69,0.37,562.13,1.10,504.69
de,mar,sarek,6110.33,18265,0.03,802.31,0.10,843.24,0.10,1252.09,0.73,1604.92,0.90,802.31
de,apr,chipseq,4674.10,13324,0.10,549.74,0.23,1123.49,0.70,1749.23,0.70,1928.30,2.03,549.74
de,apr,mag,8992.47,45476,-0.07,676.63,-0.07,881.51,-0.07,993.38,-0.07,1213.48,0.33,676.63
de,apr,montage,242.16,1900,0.23,222.00,0.23,222.00,0.37,357.00,0.67,260.00,80.53,222.00
de,apr,nanoseq,258.93,20032,0.27,58.84,0.33,119.73,0.33,119.73,1.20,219.20,1.37,58.84
de,apr,rangeland,4569.16,24799,0.10,563.67,0.20,855.44,0.70,915.20,1.50,1707.70,1.50,563.67
de,apr,rnaseq,3211.48,11011,0.30,533.67,0.43,798.19,0.53,801.38,0.83,1408.38,2.23,533.67
de,apr,sarek,6115.40,18265,0.27,523.82,0.40,1077.65,0.47,1660.61,0.90,1907.92,1.53,523.82
de,may,chipseq,3491.81,13324,9.20,579.74,23.23,1002.56,32.93,1417.36,51.63,2279.35,56.03,579.74
de,may,mag,7093.80,45476,0.07,374.75,0.07,374.75,0.07,526.63,0.23,940.51,1.40,374.75
de,may,montage,71.65,1900,100.00,202.00,100.00,357.00,100.00,0.00,100.00,202.00,100.00,202.00
de,may,nanoseq,171.15,20032,12.73,136.82,15.77,227.77,21.83,401.37,26.40,607.97,27.27,136.82
de,may,rangeland,3050.24,24799,5.37,478.67,6.10,1178.07,10.07,1343.07,11.47,2327.00,11.50,478.67
de,may,rnaseq,2583.93,11011,7.40,574.13,15.57,1163.26,42.73,1125.34,66.03,1544.02,76.97,574.13
de,may,sarek,4111.24,18265,5.97,580.82,7.67,806.25,16.87,1108.08,32.57,2491.17,32.97,580.82
de,jun,chipseq,4671.64,13324,0.40,323.94,0.83,878.12,8.43,590.28,8.50,1429.84,8.50,323.94
de,jun,mag,8609.01,45476,0.00,221.50,0.00,314.75,0.00,221.50,0.00,221.50,0.13,221.50
de,jun,montage,246.62,1900,0.80,47.00,1.47,282.00,34.17,375.00,99.70,260.00,100.00,47.00
de,jun,nanoseq,248.29,20032,2.17,170.23,2.63,97.17,2.73,331.95,3.03,397.86,3.93,170.23
de,jun,rangeland,4346.07,24799,0.10,538.67,0.30,692.44,0.50,1141.66,1.40,2118.33,1.40,538.67
de,jun,rnaseq,3213.95,11011,0.30,534.69,0.60,816.53,3.57,521.69,10.00,816.53,13.03,534.69
de,jun,sarek,5921.30,18265,2.50,583.83,3.03,826.25,3.03,931.67,3.57,1592.92,5.17,583.83
de,jul,chipseq,4699.09,13324,0.13,857.42,0.50,1145.36,0.80,1129.56,1.07,2200.77,2.53,857.42
de,jul,mag,8849.29,45476,0.00,245.50,0.00,374.75,0.00,374.75,0.03,526.63,0.10,245.50
de,jul,montage,240.97,1900,29.73,261.00,62.97,103.00,62.97,260.00,100.00,160.00,100.00,261.00
de,jul,nanoseq,259.61,20032,0.27,218.10,0.40,136.82,0.57,419.51,1.23,438.88,2.07,218.10
de,jul,rangeland,4559.32,24799,0.10,557.63,0.30,838.20,0.70,1528.70,1.50,1923.51,1.70,557.63
de,jul,rnaseq,3232.34,11011,0.50,750.19,0.70,1123.34,1.10,1090.26,1.20,1857.91,3.10,750.19
de,jul,sarek,6131.63,18265,0.30,796.31,0.47,1666.47,0.57,1904.88,1.10,1839.30,2.07,796.31
de,aug,chipseq,4791.55,13324,0.20,605.42,0.43,2058.12,10.00,2523.71,17.17,2159.98,22.60,605.42
de,aug,mag,8546.66,45476,0.07,782.29,0.17,493.75,0.17,493.75,0.17,808.99,0.40,782.29
de,aug,montage,239.53,1900,0.40,250.00,1.10,359.00,9.10,250.00,41.73,250.00,60.63,250.00
de,aug,nanoseq,252.73,20032,4.23,148.56,6.77,227.77,9.30,294.09,9.70,413.34,11.30,148.56
de,aug,rangeland,4251.90,24799,0.10,560.63,0.47,1338.30,1.07,2447.14,2.33,2235.33,2.70,560.63
de,aug,rnaseq,3280.18,11011,0.10,863.53,0.20,1564.06,2.20,1682.06,19.93,1374.06,21.73,863.53
de,aug,sarek,6059.49,18265,3.37,700.24,6.50,1355.09,8.23,2630.17,11.10,2429.75,13.20,700.24
de,sep,chipseq,4670.46,13324,0.47,287.47,0.53,834.41,1.33,1301.70,1.63,1638.83,2.23,287.47
de,sep,mag,8875.47,45476,0.00,252.76,0.00,466.99,0.07,836.51,0.07,690.63,0.10,252.76
de,sep,montage,249.94,1900,11.50,0.00,13.73,0.00,100.00,348.00,100.00,555.00,100.00,0.00
de,sep,nanoseq,259.08,20032,0.90,227.77,1.23,534.09,1.53,268.62,2.13,335.08,2.20,227.77
de,sep,rangeland,4537.40,24799,0.30,271.33,0.60,938.20,1.20,1277.25,1.70,1240.07,1.70,271.33
de,sep,rnaseq,3186.16,11011,0.03,131.06,0.27,482.67,0.40,1395.22,0.93,1375.22,1.67,131.06
de,sep,sarek,6108.29,18265,0.50,276.77,1.00,871.25,1.23,1375.09,1.90,1111.09,2.17,276.77
de,oct,chipseq,4773.61,13324,0.27,578.74,0.60,595.28,0.70,825.12,0.70,1136.49,0.70,578.74
de,oct,mag,9150.74,45476,0.00,256.88,0.00,419.75,0.00,419.75,0.07,284.88,0.27,256.88
de,oct,montage,244.41,1900,1.23,0.00,1.30,245.00,5.10,0.00,6.57,99.00,6.57,0.00
de,oct,nanoseq,263.20,20032,0.20,0.00,0.20,67.47,0.27,150.90,0.27,253.57,0.27,0.00
de,oct,rangeland,4626.19,24799,0.10,473.67,0.30,533.63,0.30,566.00,0.30,566.00,0.30,473.67
de,oct,rnaseq,3282.23,11011,0.40,531.69,0.70,295.34,0.90,446.13,0.90,995.34,0.90,531.69
de,oct,sarek,6222.47,18265,0.20,589.83,0.40,317.54,0.43,554.83,0.50,844.24,0.50,589.83
de,nov,chipseq,4488.67,13324,0.17,533.28,0.20,725.41,0.27,788.12,0.40,1119.70,0.40,533.28
de,nov,mag,8882.38,45476,0.07,519.99,0.07,627.49,0.10,929.51,0.23,1168.38,0.33,519.99
de,nov,montage,244.20,1900,2.60,0.00,3.20,0.00,3.97,0.00,4.00,0.00,5.20,0.00
de,nov,nanoseq,250.31,20032,0.27,23.45,0.33,259.23,0.33,259.23,0.33,194.76,0.33,23.45
de,nov,rangeland,4414.23,24799,0.00,294.33,0.00,860.00,0.00,581.15,0.13,787.26,0.13,294.33
de,nov,rnaseq,3070.34,11011,0.17,0.00,0.27,771.19,0.37,833.53,0.47,1154.38,0.47,0.00
de,nov,sarek,5882.80,18265,0.00,273.42,0.00,436.83,0.03,514.82,0.07,744.24,0.10,273.42
de,dec,chipseq,4606.51,13324,0.13,254.37,0.63,565.28,1.10,1413.86,2.83,1009.88,5.00,254.37
de,dec,mag,8569.00,45476,0.00,375.99,0.00,399.99,0.00,221.50,0.00,162.88,0.03,375.99
de,dec,montage,242.35,1900,3.73,0.00,3.73,202.00,3.73,202.00,3.73,295.00,4.83,0.00
de,dec,nanoseq,256.12,20032,1.07,20.74,1.67,136.82,2.60,99.58,3.73,281.47,5.27,20.74
de,dec,rangeland,4455.49,24799,0.60,288.81,1.20,427.63,1.60,1465.88,3.00,679.44,3.77,288.81
de,dec,rnaseq,3161.10,11011,0.63,592.67,0.77,299.34,1.10,861.53,2.30,905.26,4.70,592.67
de,dec,sarek,6032.12,18265,0.43,290.42,1.00,574.82,2.03,1379.06,3.10,847.31,5.10,290.42
ca,jan,chipseq,2659.49,13324,0.00,462.74,0.00,816.41,0.00,766.41,0.00,757.12,0.00,462.74
ca,jan,mag,5139.43,45476,0.00,482.75,0.07,270.88,0.07,376.99,0.07,270.88,0.07,482.75
ca,jan,montage,137.71,1900,0.10,0.00,0.93,0.00,1.70,221.94,1.70,221.94,1.70,0.00
ca,jan,nanoseq,147.64,20032,0.13,14.95,0.13,14.95,0.13,63.26,0.17,326.82,0.17,14.95
ca,jan,rangeland,2605.22,24799,0.00,303.67,0.10,963.33,0.30,725.44,0.30,924.33,0.30,303.67
ca,jan,rnaseq,1820.70,11011,0.00,0.00,0.00,274.34,0.03,274.34,0.03,274.34,0.03,0.00
ca,jan,sarek,3476.46,18265,0.00,390.82,0.00,390.82,0.00,547.25,0.00,1282.50,0.00,390.82
ca,feb,chipseq,2688.16,13324,0.30,944.49,0.30,483.41,0.30,483.41,3.10,408.12,86.00,944.49
ca,feb,mag,3427.62,45476,6.83,486.99,12.07,1117.05,14.93,1566.48,15.60,1812.89,15.60,486.99
ca,feb,montage,140.06,1900,0.90,202.00,1.03,80.00,1.20,325.00,2.37,555.00,89.97,202.00
ca,feb,nanoseq,149.13,20032,0.20,0.00,0.20,0.00,1.30,101.30,31.03,636.63,89.40,0.00
ca,feb,rangeland,2648.88,24799,0.10,544.15,3.57,754.44,15.00,486.63,38.57,1101.07,80.13,544.15
ca,feb,rnaseq,1851.99,11011,0.40,1125.34,0.77,718.19,0.77,712.19,0.80,821.01,87.30,1125.34
ca,feb,sarek,3513.24,18265,0.00,77.42,0.00,77.42,0.00,77.42,21.60,1136.09,87.20,77.42
ca,mar,chipseq,2725.17,13324,0.10,741.41,0.10,741.41,0.10,1286.36,2.47,1853.60,89.50,741.41
ca,mar,mag,3157.83,45476,3.23,283.50,7.03,281.50,19.07,58.88,30.23,1108.81,30.23,283.50
ca,mar,montage,140.38,1900,0.30,160.00,1.10,47.00,1.13,459.00,1.13,555.00,1.90,160.00
ca,mar,nanoseq,151.43,20032,0.17,253.57,0.17,253.57,1.10,253.57,33.07,309.28,89.70,253.57
ca,mar,rangeland,2686.10,24799,0.00,84.05,3.07,342.67,16.33,252.81,43.20,1337.88,89.70,84.05
ca,mar,rnaseq,1861.92,11011,0.00,743.01,0.10,1088.34,0.10,1088.34,0.10,1088.34,89.40,743.01
ca,mar,sarek,3565.38,18265,0.00,1052.65,0.00,792.24,0.00,1068.65,23.10,1892.92,89.60,1052.65
ca,apr,chipseq,2687.34,13324,0.20,887.12,0.27,1127.49,0.27,1097.88,18.37,1407.36,89.70,887.12
ca,apr,mag,3097.04,45476,5.93,723.49,11.23,806.51,24.00,591.75,49.13,462.63,53.47,723.49
ca,apr,montage,138.13,1900,0.30,356.00,0.30,497.00,0.30,295.00,0.30,497.00,89.40,356.00
ca,apr,nanoseq,148.87,20032,0.13,0.00,0.13,0.00,9.10,97.17,46.07,81.50,89.70,0.00
ca,apr,rangeland,2628.08,24799,5.03,693.44,11.60,706.00,25.20,754.15,48.33,1094.30,89.70,693.44
ca,apr,rnaseq,1850.02,11011,0.30,704.19,0.60,1125.34,0.87,569.67,1.60,1102.34,89.70,704.19
ca,apr,sarek,3508.82,18265,0.00,523.82,0.00,523.82,1.67,590.54,34.00,1150.09,89.70,523.82
ca,may,chipseq,2912.86,13324,0.00,439.94,0.00,439.94,0.40,868.42,29.17,1000.49,74.77,439.94
ca,may,mag,3831.96,45476,6.80,290.50,12.87,575.52,13.77,572.29,25.47,841.63,25.73,290.50
ca,may,montage,145.00,1900,0.13,395.00,0.80,359.00,1.20,577.00,1.27,467.00,89.47,395.00
ca,may,nanoseq,162.45,20032,0.80,50.34,4.37,0.00,17.27,218.32,33.87,86.32,76.77,50.34
ca,may,rangeland,2688.64,24799,6.27,211.33,11.80,526.10,15.10,738.00,34.97,966.26,68.03,211.33
ca,may,rnaseq,1990.68,11011,0.00,342.13,0.00,339.13,0.00,383.69,11.67,837.01,74.70,342.13
ca,may,sarek,3826.79,18265,0.30,294.77,0.80,596.54,10.03,857.24,26.63,1143.08,75.23,294.77
ca,jun,chipseq,2637.74,13324,0.20,299.47,0.40,584.74,0.53,869.42,18.77,1461.86,69.63,299.47
ca,jun,mag,3811.60,45476,4.80,544.99,10.40,966.99,21.60,1263.48,34.33,1356.57,35.47,544.99
ca,jun,montage,138.52,1900,0.03,325.00,1.00,0.00,1.80,160.00,1.80,47.00,76.90,325.00
ca,jun,nanoseq,145.81,20032,0.13,227.77,0.13,227.77,9.37,7.49,30.77,773.06,75.83,227.77
ca,jun,rangeland,2560.75,24799,5.43,702.00,11.27,524.67,22.20,681.44,28.63,944.07,73.03,702.00
ca,jun,rnaseq,1804.79,11011,0.10,283.06,0.20,557.69,0.37,799.53,1.87,1077.34,71.40,283.06
ca,jun,sarek,3437.70,18265,0.13,478.83,0.13,297.41,2.47,518.83,27.90,1587.50,72.17,478.83
ca,jul,chipseq,2676.36,13324,0.40,864.41,1.03,584.74,2.07,294.37,2.37,806.41,2.37,864.41
ca,jul,mag,5144.10,45476,0.10,543.52,0.13,696.29,0.13,671.49,0.57,1582.98,0.90,543.52
ca,jul,montage,141.21,1900,4.13,0.00,4.20,245.00,4.53,103.00,4.53,122.00,5.27,0.00
ca,jul,nanoseq,148.20,20032,1.20,241.56,1.50,241.56,1.73,241.56,1.73,241.56,1.73,241.56
ca,jul,rangeland,2586.70,24799,0.27,474.63,0.30,487.67,0.30,830.33,0.30,1099.26,0.30,474.63
ca,jul,rnaseq,1822.92,11011,0.10,818.53,0.40,507.13,1.00,298.84,1.67,555.67,1.70,818.53
ca,jul,sarek,3487.89,18265,0.60,849.25,1.13,569.82,1.50,458.83,1.50,458.83,1.50,849.25
ca,aug,chipseq,2628.68,13324,0.00,843.41,0.00,822.41,0.00,822.41,0.00,563.94,3.90,843.41
ca,aug,mag,5051.85,45476,-0.27,344.75,-0.27,674.49,-0.27,515.51,1.07,1049.51,1.73,344.75
ca,aug,montage,139.49,1900,0.20,448.00,0.20,448.00,0.30,467.00,1.97,111.00,27.80,448.00
ca,aug,nanoseq,147.40,20032,0.53,14.95,0.53,67.47,0.67,177.42,2.83,257.89,3.20,14.95
ca,aug,rangeland,2614.76,24799,0.10,908.33,0.40,671.44,1.40,561.10,3.40,1180.30,3.40,908.33
ca,aug,rnaseq,1796.97,11011,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00
ca,aug,sarek,3452.71,18265,0.00,0.00,0.00,273.83,0.00,513.83,0.80,977.09,3.03,0.00
ca,sep,chipseq,2696.11,13324,0.00,1221.36,0.10,584.94,0.10,563.94,4.67,822.41,14.43,1221.36
ca,sep,mag,5016.82,45476,0.00,564.99,0.00,806.49,0.50,1238.38,0.50,3231.96,0.50,564.99
ca,sep,montage,136.77,1900,0.20,301.00,0.20,301.00,0.20,301.00,0.20,359.00,82.60,301.00
ca,sep,nanoseq,150.40,20032,0.27,259.23,0.27,249.64,2.20,446.83,10.27,445.65,12.33,259.23
ca,sep,rangeland,2649.42,24799,0.10,559.67,3.33,1044.07,7.37,961.20,8.33,1219.30,10.00,559.67
ca,sep,rnaseq,1843.99,11011,0.00,281.06,0.00,281.06,0.00,281.06,0.00,281.06,10.43,281.06
ca,sep,sarek,3534.13,18265,0.00,734.25,0.00,604.31,0.00,991.67,10.27,1450.47,10.67,734.25
ca,oct,chipseq,2652.30,13324,0.07,941.56,0.07,941.56,0.07,941.56,4.47,1726.23,80.80,941.56
ca,oct,mag,3218.47,45476,2.20,127.76,6.37,415.75,16.83,290.76,29.00,678.05,29.03,127.76
ca,oct,montage,137.72,1900,0.20,453.00,0.40,0.00,0.50,734.00,0.70,356.00,4.00,453.00
ca,oct,nanoseq,147.64,20032,0.23,0.00,0.23,0.00,2.10,142.99,32.40,207.76,81.67,0.00
