Region,Month,Workflow,Original Footprint (gCO2e),Makespan (s),Reduction 6h (%),Overhead,Reduction 12h (%),Overhead,Reduction 24h (%),Overhead,Reduction 48h (%),Overhead,Reduction 96h (%),Overhead
gb,nov,mag,3177.18,45476,22.10,3457.50,26.83,2959.76,26.83,2959.76,26.83,2959.76,31.57,3457.50
gb,nov,montage,71.73,1900,8.20,0.00,8.20,0.00,8.20,0.00,31.80,0.00,61.80,0.00
gb,nov,nanoseq,52.43,20032,0.00,0.00,18.53,973.06,26.43,0.00,26.43,0.00,26.43,0.00
gb,nov,rangeland,1536.50,24799,0.80,327.33,22.50,220.81,28.33,0.00,28.33,0.00,28.33,327.33
gb,nov,rnaseq,705.12,11011,4.27,0.00,9.30,1624.34,28.17,0.00,28.17,0.00,28.17,0.00
gb,nov,sarek,1303.19,18265,0.00,0.00,15.77,1277.41,26.17,0.00,26.17,0.00,26.17,0.00
gb,dec,chipseq,1018.78,13324,0.00,0.00,15.20,0.00,32.60,0.00,32.60,0.00,32.60,0.00
gb,dec,mag,3119.60,45476,20.67,3457.50,24.50,3445.50,24.50,3574.76,24.50,3574.76,24.50,3457.50
gb,dec,montage,84.41,1900,2.10,0.00,2.10,0.00,2.10,0.00,2.10,0.00,34.90,0.00
gb,dec,nanoseq,55.11,20032,0.00,0.00,24.30,0.00,32.70,0.00,32.70,0.00,32.70,0.00
gb,dec,rangeland,1570.10,24799,0.80,327.33,25.83,0.33,31.50,0.00,31.50,0.00,31.50,327.33
gb,dec,rnaseq,717.52,11011,0.00,1412.06,10.67,0.00,32.77,0.00,32.77,0.00,32.77,1412.06
gb,dec,sarek,1356.02,18265,0.00,0.00,19.57,0.00,31.80,0.00,31.80,0.00,31.80,0.00
de,jan,chipseq,2743.57,13324,1.03,0.00,1.03,0.00,1.03,0.00,1.03,0.00,1.03,0.00
de,jan,mag,8182.66,45476,0.03,583.50,0.03,583.50,0.03,583.50,0.03,583.50,0.03,583.50
de,jan,montage,167.16,1900,6.20,0.00,6.20,0.00,6.20,0.00,6.20,0.00,6.20,0.00
de,jan,nanoseq,145.95,20032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
de,jan,rangeland,4176.13,24799,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
de,jan,rnaseq,1942.14,11011,2.20,0.00,2.20,0.00,2.20,0.00,2.20,0.00,2.20,0.00
de,jan,sarek,3619.84,18265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
de,feb,chipseq,2748.59,13324,3.30,0.00,4.93,1412.47,31.07,0.00,32.47,0.00,36.30,0.00
de,feb,mag,7817.03,45476,7.60,3586.76,11.07,3560.99,21.10,3825.52,24.40,3228.49,36.23,3586.76
de,feb,montage,170.47,1900,10.50,0.00,10.50,0.00,28.00,0.00,38.87,0.00,38.87,0.00
de,feb,nanoseq,143.22,20032,0.00,0.00,5.97,1042.14,28.27,0.00,28.90,2616.28,34.27,0.00
de,feb,rangeland,4083.54,24799,-0.13,327.33,8.43,421.33,25.57,220.81,26.43,335.81,34.87,327.33
de,feb,rnaseq,1963.67,11011,5.67,0.00,5.70,2693.34,31.30,0.00,35.17,0.00,36.97,0.00
de,feb,sarek,3587.09,18265,0.47,0.00,5.70,2778.42,28.03,0.00,29.67,2569.77,35.03,0.00
de,mar,chipseq,1713.51,13324,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.80,0.00
de,mar,mag,6953.98,45476,0.00,583.50,0.77,368.76,2.33,300.76,11.90,3586.76,49.83,583.50
de,mar,montage,189.81,1900,2.53,0.00,2.53,0.00,15.60,0.00,38.77,0.00,70.20,0.00
de,mar,nanoseq,94.33,20032,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.27,0.00
de,mar,rangeland,2846.73,24799,0.00,0.00,0.00,0.00,0.00,0.00,0.20,327.33,44.27,0.00
de,mar,rnaseq,1209.19,11011,1.20,0.00,1.20,0.00,1.20,0.00,1.20,0.00,41.60,0.00
de,mar,sarek,2302.06,18265,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.70,0.00
de,apr,chipseq,1571.44,13324,8.33,0.00,8.33,0.00,28.03,0.00,35.50,0.00,48.07,0.00
de,apr,mag,5835.12,45476,22.67,3586.76,28.77,3993.52,43.20,2724.76,48.70,2628.50,58.30,3586.76
de,apr,montage,74.11,1900,20.83,0.00,20.83,0.00,20.83,0.00,20.83,0.00,44.97,0.00
de,apr,nanoseq,78.68,20032,0.00,0.00,2.57,686.13,27.97,0.00,31.20,2616.28,47.93,0.00
de,apr,rangeland,2346.46,24799,0.00,0.00,6.80,323.05,32.07,0.00,33.97,335.81,50.43,0.00
de,apr,rnaseq,1127.45,11011,10.67,0.00,10.67,0.00,27.40,0.00,36.87,0.00,48.57,0.00
de,apr,sarek,2006.74,18265,1.50,0.00,4.83,3528.77,27.83,0.00,33.27,2569.77,47.93,0.00
de,may,chipseq,830.97,13324,0.00,0.00,0.00,0.00,21.50,0.00,23.40,0.00,23.40,0.00
de,may,mag,3473.00,45476,20.00,1183.50,26.40,3887.52,40.30,3574.76,40.30,3574.76,40.30,1183.50
de,may,montage,41.29,1900,10.83,0.00,10.83,0.00,10.83,0.00,10.83,0.00,10.83,0.00
de,may,nanoseq,44.78,20032,0.00,0.00,0.00,0.00,23.13,0.00,23.13,0.00,23.13,0.00
de,may,rangeland,1281.32,24799,0.00,0.00,0.00,0.00,21.63,0.00,21.63,0.00,21.63,0.00
de,may,rnaseq,577.50,11011,0.00,0.00,0.00,0.00,20.13,0.00,23.20,0.00,23.20,0.00
de,may,sarek,1105.83,18265,0.00,0.00,0.00,0.00,22.37,0.00,22.50,0.00,22.50,0.00
de,jun,chipseq,1231.71,13324,12.93,0.00,12.93,0.00,26.43,0.00,35.30,0.00,35.30,0.00
de,jun,mag,4118.01,45476,10.97,1183.50,17.00,3864.49,34.40,2959.76,39.07,3586.76,39.07,1183.50
de,jun,montage,65.76,1900,30.00,0.00,30.00,0.00,30.00,0.00,30.00,0.00,38.80,0.00
de,jun,nanoseq,60.42,20032,3.10,0.00,3.10,0.00,25.73,0.00,27.83,0.00,27.83,0.00
de,jun,rangeland,1747.82,24799,0.47,0.00,0.77,327.33,25.87,0.33,26.90,272.81,27.00,0.00
de,jun,rnaseq,894.48,11011,16.00,0.00,16.00,0.00,26.00,0.00,37.77,0.00,37.77,0.00
de,jun,sarek,1563.93,18265,6.67,0.00,6.67,0.00,26.13,0.00,30.33,0.00,30.33,0.00
de,jul,chipseq,946.14,13324,2.10,0.00,2.10,0.00,6.03,792.14,8.20,0.00,8.20,0.00
de,jul,mag,5354.23,45476,10.63,951.50,26.90,1183.50,50.90,3445.50,50.93,4028.99,51.97,951.50
de,jul,montage,62.00,1900,19.13,0.00,19.13,0.00,19.13,0.00,19.13,0.00,30.80,0.00
de,jul,nanoseq,50.94,20032,0.00,0.00,0.00,0.00,8.13,973.06,8.13,973.06,8.13,0.00
de,jul,rangeland,1550.92,24799,0.00,0.00,0.00,0.00,14.57,421.33,14.57,421.33,14.57,0.00
de,jul,rnaseq,669.51,11011,3.97,0.00,3.97,0.00,5.10,1624.34,9.20,0.00,9.20,0.00
de,jul,sarek,1250.14,18265,0.00,0.00,0.00,0.00,6.83,1277.41,7.20,1271.42,7.20,0.00
de,aug,chipseq,824.80,13324,2.30,0.00,2.30,0.00,2.30,0.00,2.30,0.00,2.30,0.00
de,aug,mag,4723.39,45476,8.00,951.50,18.80,951.50,47.40,3586.76,47.40,3586.76,48.60,951.50
de,aug,montage,76.69,1900,33.13,0.00,33.13,0.00,33.13,0.00,33.13,0.00,33.13,0.00
de,aug,nanoseq,43.41,20032,0.00,0.00,0.00,0.00,0.23,2616.28,0.23,2616.28,0.23,0.00
de,aug,rangeland,1288.59,24799,0.00,0.00,0.00,0.00,3.70,272.81,3.70,272.81,3.70,0.00
de,aug,rnaseq,586.75,11011,3.80,0.00,3.80,0.00,3.80,0.00,3.80,0.00,3.80,0.00
de,aug,sarek,1081.23,18265,0.00,0.00,0.00,0.00,0.27,3010.41,0.27,3010.41,0.27,0.00
de,sep,chipseq,2241.14,13324,16.10,0.00,22.03,792.14,50.50,0.00,56.93,0.00,56.93,0.00
de,sep,mag,6062.19,45476,18.63,3586.76,23.13,3560.99,47.63,0.00,48.23,2134.99,49.87,3586.76
de,sep,montage,72.19,1900,25.90,0.00,25.90,0.00,25.90,0.00,25.90,0.00,25.90,0.00
de,sep,nanoseq,109.05,20032,6.47,0.00,20.77,973.06,50.13,0.00,52.07,0.00,52.17,0.00
de,sep,rangeland,3068.46,24799,3.20,327.33,22.00,421.33,49.80,0.00,50.27,0.00,50.47,327.33
de,sep,rnaseq,1634.13,11011,19.60,0.00,21.83,1624.34,50.50,0.00,58.80,0.00,58.80,0.00
de,sep,sarek,2825.28,18265,10.37,0.00,21.67,1277.41,50.50,0.00,53.70,0.00,54.37,0.00
de,oct,chipseq,2683.04,13324,0.00,0.00,0.00,0.00,13.03,0.00,54.93,792.14,55.60,0.00
