name,co2e,energy,avg_ci,realtime,cpu_model,cpu_count,cpu_powerdraw,cpu_usage,memory,memory_powerdraw
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H2Bk15ac_VCAP_R1881_REP1_T1),1.9454795916994145,0.0056337125000000005,344.11,117000.0,None,2,None,81.0,1680867328.0,None
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_VCAP_Control_REP3_T1),4.74961307357181,0.013721595555555554,344.11,253000.0,None,5,None,276.0,3157262336.0,None
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K4me1_LAPC4_Control_REP1_T1),1.9531702306500651,0.0056564027777777776,344.11,115000.0,None,2,None,86.0,1680867328.0,None
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_Daro_REP2_T1),4.929853349737999,0.014242180555555555,344.11,263000.0,None,5,None,275.0,3157262336.0,None
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_VCAP_Control_REP2_T1),5.067564244333681,0.014639493333333335,344.11,272000.0,None,5,None,271.0,3157262336.0,None
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (BRD4_VCaP_Daro_REP1_T1),5.22976838242168,0.015108624999999999,344.11,279000.0,None,5,None,275.0,3157262336.0,None
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:TRIMGALORE (AR_LAPC4_R1881_REP3_T1),5.2691733639280605,0.015221216666666667,344.11,285000.0,None,5,None,266.0,3157262336.0,None
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K18ac_VCaP_Control_REP1_T1),1.0776880240182944,0.003121755555555556,344.11,59000.0,None,2,None,104.0,1680867328.0,None
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K27ac_VCaP_Control_REP2_T1),1.3646015294547529,0.003952812500000001,344.11,75000.0,None,2,None,103.0,1680867328.0,None
NFCORE_CHIPSEQ:CHIPSEQ:FASTQC_TRIMGALORE:FASTQC (H3K27ac_VCaP_R1881_REP1_T1),1.232396327650087,0.0035698111111111116,344.11,68000.0,None,2,None,102.0,1680867328.0,None
