task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
28	e9/8e8f26	nf-e98e8f269fda871d84cd054aa88a6f27-74815	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R3)	COMPLETED	0	2026-01-07 12:52:51.962	3m 13s	29s	267.7%	77 MB	657.8 MB	2.5 GB	1.3 GB
29	31/44cf94	nf-3144cf94ea77f53e48da9db473750ef4-ad538	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (A549_R1)	COMPLETED	0	2026-01-07 12:55:26.973	1m 47s	1m 6s	272.7%	56.9 MB	658.7 MB	5.5 GB	2.7 GB
30	bd/e4352a	nf-bde4352aee01ac871625d387c8ef5510-9466c	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (K562_R1)	COMPLETED	0	2026-01-07 12:56:07.025	1m 50s	40s	272.6%	57.7 MB	658.7 MB	3.4 GB	1.7 GB
31	c6/b8971b	nf-c6b8971b43c5a0adaff51cb354591fef-7780d	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_VIEW_BAM (K562_R2)	COMPLETED	0	2026-01-07 12:57:17.027	59s	15s	262.4%	54.1 MB	658.7 MB	1.3 GB	670.4 MB
32	7f/88e1c4	nf-7f88e1c431273e417b45e7a98fcc4296-69839	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R3)	COMPLETED	0	2026-01-07 12:58:02.356	51.6s	34s	293.5%	2.3 GB	5.6 GB	1.3 GB	1.2 GB
33	26/906851	nf-2690685102aad3714ff6146e99216e6a-1215b	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (A549_R1)	COMPLETED	0	2026-01-07 12:58:22.217	2m 49s	2m 14s	237.5%	4.7 GB	5.6 GB	5.1 GB	4.9 GB
34	19/c293cd	nf-19c293cdb26554c8a879721aa9128ee1-13a56	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R1)	COMPLETED	0	2026-01-07 12:58:57.081	3m 34s	1m 17s	181.5%	3.1 GB	5.6 GB	1.7 GB	1.6 GB
35	5e/6ef56f	nf-5e6ef56f86a1df2cf3043d61822cb6e7-747db	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_SORT (K562_R2)	COMPLETED	0	2026-01-07 13:01:17.235	1m 57s	40s	135.0%	1.2 GB	5.5 GB	670.5 MB	646 MB
36	67/f0f7cd	nf-67f0f7cdc02033f792dfe2bc5d822bc3-f996a	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (A549_R3)	COMPLETED	0	2026-01-07 13:02:37.156	34.8s	33s	51.1%	14.6 MB	220.9 MB	1.2 GB	2 MB
38	d0/be3d1e	nf-d0be3d1eb7bf9c80976525c02f371488-41a92	NFCORE_NANOSEQ:NANOSEQ:BAM_SORT_INDEX_SAMTOOLS:SAMTOOLS_INDEX (K562_R1)	COMPLETED	0	2026-01-07 13:03:18.310	28.7s	26s	91.2%	15 MB	220.9 MB	1.6 GB	2.1 MB
