region,task,machine,governor,runtime (h),energy consumption (kWh),average emissions (gCO2e),marginal emissions (gCO2e)
de,trimgalore,hu26,powersave,4.27,0.246,60.78,171.38
de,trimgalore,server,performance,1.0,0.021,4.82,18.98
de,trimgalore,server,powersave,0.99,0.02,6.47,15.9
ca,bowtie2_build,gpg13,performance,0.25,0.022,4.77,6.36
ca,bowtie2_build,gpg13,powersave,0.31,0.025,2.33,5.01
ca,bowtie2_build,gpg14,performance,0.25,0.022,4.67,6.25
ca,bowtie2_build,gpg14,powersave,0.31,0.025,5.3,10.64
ca,bowtie2_build,gpg15,performance,0.25,0.024,5.08,6.83
ca,bowtie2_build,gpg15,powersave,0.31,0.027,5.79,11.62
ca,bowtie2_build,gpg22,performance,0.15,0.029,6.17,5.32
ca,bowtie2_build,gpg22,powersave,0.15,0.027,5.48,11.8
ca,bowtie2_build,hu26,performance,0.16,0.017,3.66,3.52
ca,bowtie2_build,hu26,powersave,0.64,0.037,7.83,15.66
ca,bowtie2_build,server,performance,0.14,0.004,0.94,0.74
ca,bowtie2_build,server,powersave,0.14,0.003,0.59,1.18
ca,fastp,gpg13,performance,0.14,0.013,2.78,2.41
ca,fastp,gpg13,powersave,0.17,0.014,3.18,6.14
ca,fastp,gpg14,performance,0.16,0.014,3.04,3.03
ca,fastp,gpg14,powersave,0.15,0.013,2.74,5.5
ca,fastp,gpg15,performance,0.17,0.017,3.61,3.96
ca,fastp,gpg15,powersave,0.15,0.014,2.91,6.13
ca,fastp,gpg22,performance,0.11,0.022,4.71,2.54
ca,fastp,gpg22,powersave,0.11,0.022,2.77,6.24
ca,fastp,hu26,performance,0.05,0.005,1.14,2.31
ca,fastp,hu26,powersave,0.2,0.011,2.44,4.89
ca,fastp,server,performance,0.05,0.002,0.36,0.74
ca,fastp,server,powersave,0.05,0.001,0.24,0.5
ca,fastqc,gpg13,performance,0.26,0.023,4.91,6.84
ca,fastqc,gpg13,powersave,0.31,0.026,5.9,11.21
ca,fastqc,gpg14,performance,0.26,0.023,4.81,6.73
ca,fastqc,gpg14,powersave,0.31,0.025,5.43,10.9
ca,fastqc,gpg15,performance,0.26,0.025,5.18,7.25
ca,fastqc,gpg15,powersave,0.31,0.028,4.54,10.52
ca,fastqc,gpg22,performance,0.13,0.025,5.27,3.69
ca,fastqc,gpg22,powersave,0.13,0.024,2.05,5.35
ca,fastqc,hu26,performance,0.16,0.017,3.69,3.71
ca,fastqc,hu26,powersave,0.63,0.036,2.92,10.95
ca,fastqc,server,performance,0.16,0.005,1.05,1.01
ca,fastqc,server,powersave,0.16,0.003,0.36,0.78
ca,trimgalore,gpg13,performance,1.5,0.046,4.8,42.61
ca,trimgalore,gpg13,powersave,1.79,0.149,29.32,63.53
ca,trimgalore,gpg14,performance,1.49,0.044,4.57,41.27
ca,trimgalore,gpg14,powersave,1.79,0.146,14.29,44.4
ca,trimgalore,gpg15,performance,1.56,0.053,5.57,45.86
ca,trimgalore,gpg15,powersave,1.79,0.16,13.31,48.6
ca,trimgalore,gpg22,performance,0.86,0.17,29.65,63.07
ca,trimgalore,gpg22,powersave,0.86,0.16,17.05,44.96
ca,trimgalore,hu26,performance,1.05,0.005,0.52,37.27
ca,trimgalore,hu26,powersave,4.27,0.246,51.69,106.61
ca,trimgalore,server,performance,1.0,0.021,3.31,10.66
ca,trimgalore,server,powersave,0.99,0.02,2.63,6.14
tx,bowtie2_build,gpg13,performance,0.25,0.022,6.53,7.04
tx,bowtie2_build,gpg13,powersave,0.31,0.025,7.87,11.91
tx,bowtie2_build,gpg14,performance,0.25,0.022,6.39,6.92
tx,bowtie2_build,gpg14,powersave,0.31,0.025,6.8,11.25
tx,bowtie2_build,gpg15,performance,0.25,0.024,6.96,7.56
tx,bowtie2_build,gpg15,powersave,0.31,0.027,7.88,11.72
tx,bowtie2_build,gpg22,performance,0.15,0.029,8.44,6.03
tx,bowtie2_build,gpg22,powersave,0.15,0.027,8.38,14.23
tx,bowtie2_build,hu26,performance,0.16,0.017,5.01,4.0
tx,bowtie2_build,hu26,powersave,0.64,0.037,9.84,14.22
tx,bowtie2_build,server,performance,0.14,0.004,1.28,0.84
tx,bowtie2_build,server,powersave,0.14,0.003,0.8,1.34
tx,fastp,gpg13,performance,0.14,0.013,4.16,2.92
tx,fastp,gpg13,powersave,0.17,0.014,4.19,6.6
tx,fastp,gpg14,performance,0.16,0.014,4.54,3.67
tx,fastp,gpg14,powersave,0.15,0.013,3.73,5.81
tx,fastp,gpg15,performance,0.17,0.017,5.39,4.79
tx,fastp,gpg15,powersave,0.15,0.014,3.46,6.48
tx,fastp,gpg22,performance,0.11,0.022,7.05,3.07
tx,fastp,gpg22,powersave,0.11,0.022,5.84,10.74
tx,fastp,hu26,performance,0.05,0.005,1.71,2.84
tx,fastp,hu26,powersave,0.2,0.011,3.11,5.09
tx,fastp,server,performance,0.05,0.002,0.55,0.91
tx,fastp,server,powersave,0.05,0.001,0.37,0.6
tx,fastqc,gpg13,performance,0.26,0.023,7.8,8.13
tx,fastqc,gpg13,powersave,0.31,0.026,8.42,12.5
tx,fastqc,gpg14,performance,0.26,0.023,7.65,8.0
tx,fastqc,gpg14,powersave,0.31,0.025,6.93,12.0
tx,fastqc,gpg15,performance,0.26,0.025,8.24,8.61
tx,fastqc,gpg15,powersave,0.31,0.028,6.18,12.69
tx,fastqc,gpg22,performance,0.13,0.025,8.38,4.38
tx,fastqc,gpg22,powersave,0.13,0.024,6.57,10.36
tx,fastqc,hu26,performance,0.16,0.017,5.86,4.4
tx,fastqc,hu26,powersave,0.63,0.036,9.31,14.38
tx,fastqc,server,performance,0.16,0.005,1.67,1.2
tx,fastqc,server,powersave,0.16,0.003,0.79,1.47
tx,trimgalore,gpg13,performance,1.5,0.046,12.21,66.11
tx,trimgalore,gpg13,powersave,1.79,0.149,41.02,77.45
tx,trimgalore,gpg14,performance,1.49,0.044,11.61,63.94
tx,trimgalore,gpg14,powersave,1.79,0.146,33.79,65.36
tx,trimgalore,gpg15,performance,1.56,0.053,14.16,71.84
tx,trimgalore,gpg15,powersave,1.79,0.16,39.68,67.3
tx,trimgalore,gpg22,performance,0.86,0.17,47.57,83.23
tx,trimgalore,gpg22,powersave,0.86,0.16,44.91,77.85
tx,trimgalore,hu26,performance,1.05,0.005,1.33,54.97
tx,trimgalore,hu26,powersave,4.27,0.246,74.91,116.01
tx,trimgalore,server,performance,1.0,0.021,5.75,15.61
tx,trimgalore,server,powersave,0.99,0.02,5.94,9.87
zaf,bowtie2_build,gpg13,performance,0.25,0.022,14.16,13.66
zaf,bowtie2_build,gpg13,powersave,0.31,0.025,17.14,22.1
zaf,bowtie2_build,gpg14,performance,0.25,0.022,13.87,13.41
zaf,bowtie2_build,gpg14,powersave,0.31,0.025,15.65,22.86
zaf,bowtie2_build,gpg15,performance,0.25,0.024,15.09,14.66
zaf,bowtie2_build,gpg15,powersave,0.31,0.027,17.12,24.91
zaf,bowtie2_build,gpg22,performance,0.15,0.029,18.32,11.42
zaf,bowtie2_build,gpg22,powersave,0.15,0.027,16.92,24.88
zaf,bowtie2_build,hu26,performance,0.16,0.017,10.87,7.57
zaf,bowtie2_build,hu26,powersave,0.64,0.037,23.11,33.63
zaf,bowtie2_build,server,performance,0.14,0.004,2.78,1.59
zaf,bowtie2_build,server,powersave,0.14,0.003,1.76,2.54
zaf,fastp,gpg13,performance,0.14,0.013,8.24,5.13
zaf,fastp,gpg13,powersave,0.17,0.014,9.42,11.95
zaf,fastp,gpg14,performance,0.16,0.014,9.0,6.45
zaf,fastp,gpg14,powersave,0.15,0.013,8.09,11.78
zaf,fastp,gpg15,performance,0.17,0.017,10.69,8.42
zaf,fastp,gpg15,powersave,0.15,0.014,8.92,12.79
zaf,fastp,gpg22,performance,0.11,0.022,13.97,5.4
zaf,fastp,gpg22,powersave,0.11,0.022,14.02,20.05
zaf,fastp,hu26,performance,0.05,0.005,3.38,4.98
zaf,fastp,hu26,powersave,0.2,0.011,7.21,10.52
zaf,fastp,server,performance,0.05,0.002,1.08,1.59
zaf,fastp,server,powersave,0.05,0.001,0.72,1.06
zaf,fastqc,gpg13,performance,0.26,0.023,14.49,14.49
zaf,fastqc,gpg13,powersave,0.31,0.026,16.43,23.91
zaf,fastqc,gpg14,performance,0.26,0.023,14.21,14.25
zaf,fastqc,gpg14,powersave,0.31,0.025,16.12,23.24
zaf,fastqc,gpg15,performance,0.26,0.025,15.31,15.35
zaf,fastqc,gpg15,powersave,0.31,0.028,18.02,25.45
zaf,fastqc,gpg22,performance,0.13,0.025,15.57,7.82
zaf,fastqc,gpg22,powersave,0.13,0.024,15.48,21.85
zaf,fastqc,hu26,performance,0.16,0.017,10.89,7.86
zaf,fastqc,hu26,powersave,0.63,0.036,24.51,33.35
zaf,fastqc,server,performance,0.16,0.005,3.1,2.14
zaf,fastqc,server,powersave,0.16,0.003,2.06,2.91
zaf,trimgalore,gpg13,performance,1.5,0.046,29.78,118.83
zaf,trimgalore,gpg13,powersave,1.79,0.149,94.65,137.09
zaf,trimgalore,gpg14,performance,1.49,0.044,28.31,114.82
zaf,trimgalore,gpg14,powersave,1.79,0.146,96.43,134.3
zaf,trimgalore,gpg15,performance,1.56,0.053,34.52,129.34
zaf,trimgalore,gpg15,powersave,1.79,0.16,106.99,147.46
zaf,trimgalore,gpg22,performance,0.86,0.17,107.87,146.66
zaf,trimgalore,gpg22,powersave,0.86,0.16,105.79,142.57
zaf,trimgalore,hu26,performance,1.05,0.005,3.25,95.3
zaf,trimgalore,hu26,powersave,4.27,0.246,161.74,212.84
zaf,trimgalore,server,performance,1.0,0.021,13.53,26.97
zaf,trimgalore,server,powersave,0.99,0.02,13.55,18.04
tyo,bowtie2_build,gpg13,performance,0.25,0.022,11.09,7.95
tyo,bowtie2_build,gpg13,powersave,0.31,0.025,11.05,13.52
tyo,bowtie2_build,gpg14,performance,0.25,0.022,10.86,7.81
tyo,bowtie2_build,gpg14,powersave,0.31,0.025,12.42,13.31
tyo,bowtie2_build,gpg15,performance,0.25,0.024,11.82,8.54
tyo,bowtie2_build,gpg15,powersave,0.31,0.027,13.52,14.51
tyo,bowtie2_build,gpg22,performance,0.15,0.029,14.34,6.65
tyo,bowtie2_build,gpg22,powersave,0.15,0.027,13.47,14.49
tyo,bowtie2_build,hu26,performance,0.16,0.017,8.52,4.41
tyo,bowtie2_build,hu26,powersave,0.64,0.037,18.16,19.58
tyo,bowtie2_build,server,performance,0.14,0.004,2.17,0.93
tyo,bowtie2_build,server,powersave,0.14,0.003,1.33,1.48
tyo,fastp,gpg13,performance,0.14,0.013,6.59,2.99
tyo,fastp,gpg13,powersave,0.17,0.014,5.02,7.51
tyo,fastp,gpg14,performance,0.16,0.014,7.19,3.76
tyo,fastp,gpg14,powersave,0.15,0.013,6.39,6.86
tyo,fastp,gpg15,performance,0.17,0.017,8.54,4.9
tyo,fastp,gpg15,powersave,0.15,0.014,6.93,7.44
tyo,fastp,gpg22,performance,0.11,0.022,11.16,3.15
tyo,fastp,gpg22,powersave,0.11,0.022,10.84,11.67
tyo,fastp,hu26,performance,0.05,0.005,2.7,2.9
tyo,fastp,hu26,powersave,0.2,0.011,5.71,6.12
tyo,fastp,server,performance,0.05,0.002,0.86,0.93
tyo,fastp,server,powersave,0.05,0.001,0.58,0.62
tyo,fastqc,gpg13,performance,0.26,0.023,11.6,8.44
tyo,fastqc,gpg13,powersave,0.31,0.026,12.98,13.91
tyo,fastqc,gpg14,performance,0.26,0.023,11.38,8.3
tyo,fastqc,gpg14,powersave,0.31,0.025,12.6,13.53
tyo,fastqc,gpg15,performance,0.26,0.025,12.25,8.94
tyo,fastqc,gpg15,powersave,0.31,0.028,13.76,14.81
tyo,fastqc,gpg22,performance,0.13,0.025,12.47,4.55
tyo,fastqc,gpg22,powersave,0.13,0.024,11.78,12.7
tyo,fastqc,hu26,performance,0.16,0.017,8.72,4.58
tyo,fastqc,hu26,powersave,0.63,0.036,17.99,19.38
tyo,fastqc,server,performance,0.16,0.005,2.48,1.25
tyo,fastqc,server,powersave,0.16,0.003,1.58,1.69
tyo,trimgalore,gpg13,performance,1.5,0.046,22.77,69.18
tyo,trimgalore,gpg13,powersave,1.79,0.149,74.45,79.81
tyo,trimgalore,gpg14,performance,1.49,0.044,21.65,66.84
tyo,trimgalore,gpg14,powersave,1.79,0.146,72.43,78.07
tyo,trimgalore,gpg15,performance,1.56,0.053,26.4,75.3
tyo,trimgalore,gpg15,powersave,1.79,0.16,79.51,85.63
tyo,trimgalore,gpg22,performance,0.86,0.17,84.92,85.38
tyo,trimgalore,gpg22,powersave,0.86,0.16,79.42,82.9
tyo,trimgalore,hu26,performance,1.05,0.005,2.49,55.48
tyo,trimgalore,hu26,powersave,4.27,0.246,102.56,131.72
tyo,trimgalore,server,performance,1.0,0.021,10.6,15.7
tyo,trimgalore,server,powersave,0.99,0.02,9.24,10.94
nsw,bowtie2_build,gpg13,performance,0.25,0.022,12.77,11.09
nsw,bowtie2_build,gpg13,powersave,0.31,0.025,11.02,16.91
nsw,bowtie2_build,gpg14,performance,0.25,0.022,12.51,10.9
nsw,bowtie2_build,gpg14,powersave,0.31,0.025,14.38,19.77
nsw,bowtie2_build,gpg15,performance,0.25,0.024,13.61,11.91
nsw,bowtie2_build,gpg15,powersave,0.31,0.027,16.12,21.16
nsw,bowtie2_build,gpg22,performance,0.15,0.029,16.52,9.31
nsw,bowtie2_build,gpg22,powersave,0.15,0.027,16.9,21.58
nsw,bowtie2_build,hu26,performance,0.16,0.017,9.81,6.17
nsw,bowtie2_build,hu26,powersave,0.64,0.037,20.5,27.8
nsw,bowtie2_build,server,performance,0.14,0.004,2.5,1.3
nsw,bowtie2_build,server,powersave,0.14,0.003,1.52,2.07
nsw,fastp,gpg13,performance,0.14,0.013,7.97,4.43
nsw,fastp,gpg13,powersave,0.17,0.014,5.19,10.94
nsw,fastp,gpg14,performance,0.16,0.014,8.7,5.57
nsw,fastp,gpg14,powersave,0.15,0.013,7.62,10.2
nsw,fastp,gpg15,performance,0.17,0.017,10.33,7.27
nsw,fastp,gpg15,powersave,0.15,0.014,8.42,11.16
nsw,fastp,gpg22,performance,0.11,0.022,13.5,4.66
nsw,fastp,gpg22,powersave,0.11,0.022,13.76,17.61
nsw,fastp,hu26,performance,0.05,0.005,3.27,4.26
nsw,fastp,hu26,powersave,0.2,0.011,6.54,9.07
nsw,fastp,server,performance,0.05,0.002,1.04,1.36
nsw,fastp,server,powersave,0.05,0.001,0.7,0.91
nsw,fastqc,gpg13,performance,0.26,0.023,14.45,12.64
nsw,fastqc,gpg13,powersave,0.31,0.026,16.09,20.71
nsw,fastqc,gpg14,performance,0.26,0.023,14.17,12.43
nsw,fastqc,gpg14,powersave,0.31,0.025,15.28,20.17
nsw,fastqc,gpg15,performance,0.26,0.025,15.26,13.39
nsw,fastqc,gpg15,powersave,0.31,0.028,16.82,22.52
nsw,fastqc,gpg22,performance,0.13,0.025,15.53,6.81
nsw,fastqc,gpg22,powersave,0.13,0.024,15.07,19.32
nsw,fastqc,hu26,performance,0.16,0.017,10.86,6.84
nsw,fastqc,hu26,powersave,0.63,0.036,21.64,29.61
nsw,fastqc,server,performance,0.16,0.005,3.09,1.86
nsw,fastqc,server,powersave,0.16,0.003,2.01,2.55
nsw,trimgalore,gpg13,performance,1.5,0.046,28.97,104.44
nsw,trimgalore,gpg13,powersave,1.79,0.149,94.29,120.04
nsw,trimgalore,gpg14,performance,1.49,0.044,27.53,100.92
nsw,trimgalore,gpg14,powersave,1.79,0.146,88.56,118.66
nsw,trimgalore,gpg15,performance,1.56,0.053,33.58,113.7
nsw,trimgalore,gpg15,powersave,1.79,0.16,97.32,130.09
nsw,trimgalore,gpg22,performance,0.86,0.17,105.21,127.48
nsw,trimgalore,gpg22,powersave,0.86,0.16,98.36,120.6
nsw,trimgalore,hu26,performance,1.05,0.005,3.16,83.71
nsw,trimgalore,hu26,powersave,4.27,0.246,113.54,182.48
nsw,trimgalore,server,performance,1.0,0.021,13.43,23.68
nsw,trimgalore,server,powersave,0.99,0.02,9.62,14.09
